dataset,extradata,global_rank,metric_name,metric_value,model,remove,task,paper_title,paper_path,paper_url
WebQSP-WD,,# 1,F1,0.73,VCG,-,Entity Linking,Mixing Context Granularities for Improved Entity Linking on Question Answering Data across Entity Categories,/paper/mixing-context-granularities-for-improved,https://arxiv.org/pdf/1804.08460v1.pdf
Douban,,# 5,RMSE,0.8009999999999999,sRGCNN,-,Collaborative Filtering,Geometric Matrix Completion with Recurrent Multi-Graph Neural Networks,/paper/geometric-matrix-completion-with-recurrent,https://arxiv.org/pdf/1704.06803v1.pdf
Flixster,,# 3,RMSE,0.9259999999999999,sRGCNN,-,Collaborative Filtering,Geometric Matrix Completion with Recurrent Multi-Graph Neural Networks,/paper/geometric-matrix-completion-with-recurrent,https://arxiv.org/pdf/1704.06803v1.pdf
MovieLens 100K,,# 3,RMSE,0.929,sRGCNN,-,Collaborative Filtering,Geometric Matrix Completion with Recurrent Multi-Graph Neural Networks,/paper/geometric-matrix-completion-with-recurrent,https://arxiv.org/pdf/1704.06803v1.pdf
Caltech-101,,# 1,Top-1 Error Rate,13.07%,AutoAugment,-,Fine-Grained Image Classification,AutoAugment: Learning Augmentation Policies from Data,/paper/autoaugment-learning-augmentation-policies,https://arxiv.org/pdf/1805.09501v3.pdf
FGVC Aircraft,,# 1,Top-1 Error Rate,7.33%,AutoAugment,-,Fine-Grained Image Classification,AutoAugment: Learning Augmentation Policies from Data,/paper/autoaugment-learning-augmentation-policies,https://arxiv.org/pdf/1805.09501v3.pdf
Oxford 102 Flowers,,# 1,Top-1 Error Rate,4.64%,AutoAugment,-,Fine-Grained Image Classification,AutoAugment: Learning Augmentation Policies from Data,/paper/autoaugment-learning-augmentation-policies,https://arxiv.org/pdf/1805.09501v3.pdf
Oxford-IIIT Pets,,# 1,Top-1 Error Rate,11.02%,AutoAugment,-,Fine-Grained Image Classification,AutoAugment: Learning Augmentation Policies from Data,/paper/autoaugment-learning-augmentation-policies,https://arxiv.org/pdf/1805.09501v3.pdf
Stanford Cars,,# 1,Top-1 Error Rate,5.19%,AutoAugment,-,Fine-Grained Image Classification,AutoAugment: Learning Augmentation Policies from Data,/paper/autoaugment-learning-augmentation-policies,https://arxiv.org/pdf/1805.09501v3.pdf
ImageNet,,# 20,Top 1 Accuracy,70.9%,ShuffleNet,-,Image Classification,ShuffleNet: An Extremely Efficient Convolutional Neural Network for Mobile Devices,/paper/shufflenet-an-extremely-efficient,https://arxiv.org/pdf/1707.01083v2.pdf
ImageNet,,# 16,Top 5 Accuracy,89.8%,ShuffleNet,-,Image Classification,ShuffleNet: An Extremely Efficient Convolutional Neural Network for Mobile Devices,/paper/shufflenet-an-extremely-efficient,https://arxiv.org/pdf/1707.01083v2.pdf
Caltech,,# 18,Reasonable Miss Rate,23.3,AlexNet,-,Pedestrian Detection,Taking a Deeper Look at Pedestrians,/paper/taking-a-deeper-look-at-pedestrians,https://arxiv.org/pdf/1501.05790v1.pdf
CoNLL 2005,,# 1,F1,98.4,LISA,-,Predicate Detection,Linguistically-Informed Self-Attention for Semantic Role Labeling,/paper/linguistically-informed-self-attention-for,https://arxiv.org/pdf/1804.08199v3.pdf
CoNLL 2005,,# 1,F1,86.9,LISA + ELMo,-,Semantic Role Labeling (predicted predicates),Linguistically-Informed Self-Attention for Semantic Role Labeling,/paper/linguistically-informed-self-attention-for,https://arxiv.org/pdf/1804.08199v3.pdf
CoNLL 2005,,# 4,F1,86.04,LISA,-,Semantic Role Labeling,Linguistically-Informed Self-Attention for Semantic Role Labeling,/paper/linguistically-informed-self-attention-for,https://arxiv.org/pdf/1804.08199v3.pdf
CoNLL 2005,,# 3,F1,84.99,LISA,-,Semantic Role Labeling (predicted predicates),Linguistically-Informed Self-Attention for Semantic Role Labeling,/paper/linguistically-informed-self-attention-for,https://arxiv.org/pdf/1804.08199v3.pdf
CoNLL 2012,,# 3,F1,82.33,LISA,-,Semantic Role Labeling (predicted predicates),Linguistically-Informed Self-Attention for Semantic Role Labeling,/paper/linguistically-informed-self-attention-for,https://arxiv.org/pdf/1804.08199v3.pdf
CoNLL 2012,,# 1,F1,83.38,LISA + ELMo,-,Semantic Role Labeling (predicted predicates),Linguistically-Informed Self-Attention for Semantic Role Labeling,/paper/linguistically-informed-self-attention-for,https://arxiv.org/pdf/1804.08199v3.pdf
CoNLL 2012,,# 1,F1,97.2,LISA,-,Predicate Detection,Linguistically-Informed Self-Attention for Semantic Role Labeling,/paper/linguistically-informed-self-attention-for,https://arxiv.org/pdf/1804.08199v3.pdf
Cityscapes,,# 1,Mean IoU,82.1%,DeepLabv3+ (Xception-JFT),-,Semantic Segmentation,Encoder-Decoder with Atrous Separable Convolution for Semantic Image Segmentation,/paper/encoder-decoder-with-atrous-separable,https://arxiv.org/pdf/1802.02611v3.pdf
PASCAL VOC 2012,,# 1,Mean IoU,89.0%,DeepLabv3+ (Xception-JFT),-,Semantic Segmentation,Encoder-Decoder with Atrous Separable Convolution for Semantic Image Segmentation,/paper/encoder-decoder-with-atrous-separable,https://arxiv.org/pdf/1802.02611v3.pdf
PASCAL Context,,# 7,mIoU,44.5,VeryDeep,-,Semantic Segmentation,Bridging Category-level and Instance-level Semantic Image Segmentation,/paper/bridging-category-level-and-instance-level,https://arxiv.org/pdf/1605.06885v1.pdf
SUBJ,,# 1,Accuracy,95.5,AdaSent,-,Subjectivity Analysis,Self-Adaptive Hierarchical Sentence Model,/paper/self-adaptive-hierarchical-sentence-model,https://arxiv.org/pdf/1504.05070v2.pdf
CIFAR-10,,# 6,NLL Test,3.35,GLOW,-,Image Generation,Glow: Generative Flow with Invertible 1x1 Convolutions,/paper/glow-generative-flow-with-invertible-1x1,https://arxiv.org/pdf/1807.03039v2.pdf
ImageNet 64x64,,# 5,Bits per byte,3.81,GLOW,-,Image Generation,Glow: Generative Flow with Invertible 1x1 Convolutions,/paper/glow-generative-flow-with-invertible-1x1,https://arxiv.org/pdf/1807.03039v2.pdf
Penn Treebank,,# 2,POS,97.44,Weiss et al.,-,Dependency Parsing,Structured Training for Neural Network Transition-Based Parsing,/paper/structured-training-for-neural-network,https://arxiv.org/pdf/1506.06158v1.pdf
Penn Treebank,,# 6,UAS,93.99,Weiss et al.,-,Dependency Parsing,Structured Training for Neural Network Transition-Based Parsing,/paper/structured-training-for-neural-network,https://arxiv.org/pdf/1506.06158v1.pdf
Penn Treebank,,# 6,LAS,92.05,Weiss et al.,-,Dependency Parsing,Structured Training for Neural Network Transition-Based Parsing,/paper/structured-training-for-neural-network,https://arxiv.org/pdf/1506.06158v1.pdf
CACDVS,,# 5,Accuracy,97.95%,MFM-CNN,-,Age-Invariant Face Recognition,A Light CNN for Deep Face Representation with Noisy Labels,/paper/a-light-cnn-for-deep-face-representation-with,https://arxiv.org/pdf/1511.02683v4.pdf
CAFR,,# 2,Accuracy,73.56%,Light CNN,-,Age-Invariant Face Recognition,A Light CNN for Deep Face Representation with Noisy Labels,/paper/a-light-cnn-for-deep-face-representation-with,https://arxiv.org/pdf/1511.02683v4.pdf
Labeled Faces in the Wild,,# 7,Accuracy,99.33%,Light CNN-29,-,Face Verification,A Light CNN for Deep Face Representation with Noisy Labels,/paper/a-light-cnn-for-deep-face-representation-with,https://arxiv.org/pdf/1511.02683v4.pdf
MegaFace,,# 6,Accuracy,85.133%,Light CNN-29,-,Face Verification,A Light CNN for Deep Face Representation with Noisy Labels,/paper/a-light-cnn-for-deep-face-representation-with,https://arxiv.org/pdf/1511.02683v4.pdf
MegaFace,,# 4,Accuracy,73.749%,Light CNN-29,-,Face Identification,A Light CNN for Deep Face Representation with Noisy Labels,/paper/a-light-cnn-for-deep-face-representation-with,https://arxiv.org/pdf/1511.02683v4.pdf
YouTube Faces DB,,# 5,Accuracy,95.54%,Light CNN-29,-,Face Verification,A Light CNN for Deep Face Representation with Noisy Labels,/paper/a-light-cnn-for-deep-face-representation-with,https://arxiv.org/pdf/1511.02683v4.pdf
BSD100 - 4x upscaling,,# 9,PSNR,27.57,BSRN,-,Image Super-Resolution,Lightweight and Efficient Image Super-Resolution with Block State-based Recursive Network,/paper/lightweight-and-efficient-image-super,https://arxiv.org/pdf/1811.12546v1.pdf
BSD100 - 4x upscaling,,# 13,SSIM,0.7353,BSRN,-,Image Super-Resolution,Lightweight and Efficient Image Super-Resolution with Block State-based Recursive Network,/paper/lightweight-and-efficient-image-super,https://arxiv.org/pdf/1811.12546v1.pdf
Set14 - 4x upscaling,,# 9,PSNR,28.56,BSRN,-,Image Super-Resolution,Lightweight and Efficient Image Super-Resolution with Block State-based Recursive Network,/paper/lightweight-and-efficient-image-super,https://arxiv.org/pdf/1811.12546v1.pdf
Set14 - 4x upscaling,,# 15,SSIM,0.7803,BSRN,-,Image Super-Resolution,Lightweight and Efficient Image Super-Resolution with Block State-based Recursive Network,/paper/lightweight-and-efficient-image-super,https://arxiv.org/pdf/1811.12546v1.pdf
Set5 - 4x upscaling,,# 7,PSNR,32.14,BSRN,-,Image Super-Resolution,Lightweight and Efficient Image Super-Resolution with Block State-based Recursive Network,/paper/lightweight-and-efficient-image-super,https://arxiv.org/pdf/1811.12546v1.pdf
Set5 - 4x upscaling,,# 12,SSIM,0.8937,BSRN,-,Image Super-Resolution,Lightweight and Efficient Image Super-Resolution with Block State-based Recursive Network,/paper/lightweight-and-efficient-image-super,https://arxiv.org/pdf/1811.12546v1.pdf
Urban100 - 4x upscaling,,# 11,PSNR,26.03,BSRN,-,Image Super-Resolution,Lightweight and Efficient Image Super-Resolution with Block State-based Recursive Network,/paper/lightweight-and-efficient-image-super,https://arxiv.org/pdf/1811.12546v1.pdf
Urban100 - 4x upscaling,,# 10,SSIM,0.7835,BSRN,-,Image Super-Resolution,Lightweight and Efficient Image Super-Resolution with Block State-based Recursive Network,/paper/lightweight-and-efficient-image-super,https://arxiv.org/pdf/1811.12546v1.pdf
enwiki8,,# 9,Bit per Character (BPC),1.27,Recurrent highway networks,-,Language Modelling,Recurrent Highway Networks,/paper/recurrent-highway-networks,https://arxiv.org/pdf/1607.03474v5.pdf
enwiki8,,# 1,Number of params,46M,Recurrent highway networks,-,Language Modelling,Recurrent Highway Networks,/paper/recurrent-highway-networks,https://arxiv.org/pdf/1607.03474v5.pdf
Hutter Prize,,# 9,Bit per Character (BPC),1.27,Large RHN,-,Language Modelling,Recurrent Highway Networks,/paper/recurrent-highway-networks,https://arxiv.org/pdf/1607.03474v5.pdf
Hutter Prize,,# 1,Number of params,46M,Large RHN,-,Language Modelling,Recurrent Highway Networks,/paper/recurrent-highway-networks,https://arxiv.org/pdf/1607.03474v5.pdf
Penn Treebank (Word Level),,# 17,Validation perplexity,67.9,Recurrent highway networks,-,Language Modelling,Recurrent Highway Networks,/paper/recurrent-highway-networks,https://arxiv.org/pdf/1607.03474v5.pdf
Penn Treebank (Word Level),,# 20,Test perplexity,65.4,Recurrent highway networks,-,Language Modelling,Recurrent Highway Networks,/paper/recurrent-highway-networks,https://arxiv.org/pdf/1607.03474v5.pdf
Penn Treebank (Word Level),,# 1,Params,23M,Recurrent highway networks,-,Language Modelling,Recurrent Highway Networks,/paper/recurrent-highway-networks,https://arxiv.org/pdf/1607.03474v5.pdf
Text8,,# 7,Bit per Character (BPC),1.27,Large RHN,-,Language Modelling,Recurrent Highway Networks,/paper/recurrent-highway-networks,https://arxiv.org/pdf/1607.03474v5.pdf
Text8,,# 1,Number of params,46M,Large RHN,-,Language Modelling,Recurrent Highway Networks,/paper/recurrent-highway-networks,https://arxiv.org/pdf/1607.03474v5.pdf
SNLI,,# 39,% Test Accuracy,83.5,100D LSTMs w/ word-by-word attention,-,Natural Language Inference,Reasoning about Entailment with Neural Attention,/paper/reasoning-about-entailment-with-neural,https://arxiv.org/pdf/1509.06664v4.pdf
SNLI,,# 47,% Train Accuracy,85.3,100D LSTMs w/ word-by-word attention,-,Natural Language Inference,Reasoning about Entailment with Neural Attention,/paper/reasoning-about-entailment-with-neural,https://arxiv.org/pdf/1509.06664v4.pdf
SNLI,,# 1,Parameters,250k,100D LSTMs w/ word-by-word attention,-,Natural Language Inference,Reasoning about Entailment with Neural Attention,/paper/reasoning-about-entailment-with-neural,https://arxiv.org/pdf/1509.06664v4.pdf
AG News,,# 11,Error,7.61,CCCapsNet,-,Text Classification,Compositional coding capsule network with k-means routing for text classification,/paper/compositional-coding-capsule-network-with-k,https://arxiv.org/pdf/1810.09177v3.pdf
Amazon Review Full,,# 7,Accuracy,60.95,CCCapsNet,-,Sentiment Analysis,Compositional coding capsule network with k-means routing for text classification,/paper/compositional-coding-capsule-network-with-k,https://arxiv.org/pdf/1810.09177v3.pdf
Amazon Review Polarity,,# 7,Accuracy,94.96,CCCapsNet,-,Sentiment Analysis,Compositional coding capsule network with k-means routing for text classification,/paper/compositional-coding-capsule-network-with-k,https://arxiv.org/pdf/1810.09177v3.pdf
DBpedia,,# 12,Error,1.28,CCCapsNet,-,Text Classification,Compositional coding capsule network with k-means routing for text classification,/paper/compositional-coding-capsule-network-with-k,https://arxiv.org/pdf/1810.09177v3.pdf
Sogou News,,# 1,Accuracy,97.25,CCCapsNet,-,Text Classification,Compositional coding capsule network with k-means routing for text classification,/paper/compositional-coding-capsule-network-with-k,https://arxiv.org/pdf/1810.09177v3.pdf
Yahoo! Answers,,# 3,Accuracy,73.85,CCCapsNet,-,Text Classification,Compositional coding capsule network with k-means routing for text classification,/paper/compositional-coding-capsule-network-with-k,https://arxiv.org/pdf/1810.09177v3.pdf
Yelp Binary classification,,# 8,Error,3.52,CCCapsNet,-,Sentiment Analysis,Compositional coding capsule network with k-means routing for text classification,/paper/compositional-coding-capsule-network-with-k,https://arxiv.org/pdf/1810.09177v3.pdf
Yelp Fine-grained classification,,# 8,Error,34.15,CCCapsNet,-,Sentiment Analysis,Compositional coding capsule network with k-means routing for text classification,/paper/compositional-coding-capsule-network-with-k,https://arxiv.org/pdf/1810.09177v3.pdf
TREC Robust04,,# 5,MAP,0.2846,NPRF-KNRM,-,Ad-Hoc Information Retrieval,NPRF: A Neural Pseudo Relevance Feedback Framework for Ad-hoc Information Retrieval,/paper/nprf-a-neural-pseudo-relevance-feedback,https://arxiv.org/pdf/1810.12936v1.pdf
TREC Robust04,,# 12,MAP,0.2464,KNRM,-,Ad-Hoc Information Retrieval,NPRF: A Neural Pseudo Relevance Feedback Framework for Ad-hoc Information Retrieval,/paper/nprf-a-neural-pseudo-relevance-feedback,https://arxiv.org/pdf/1810.12936v1.pdf
TREC Robust04,,# 3,MAP,0.2904,NPRF-DRMM,-,Ad-Hoc Information Retrieval,NPRF: A Neural Pseudo Relevance Feedback Framework for Ad-hoc Information Retrieval,/paper/nprf-a-neural-pseudo-relevance-feedback,https://arxiv.org/pdf/1810.12936v1.pdf
TREC Robust04,,# 1,MAP,0.302,Anserini BM25+RM3,-,Ad-Hoc Information Retrieval,The Neural Hype and Comparisons Against Weak Baselines,/paper/the-neural-hype-and-comparisons-against-weak,https://sigir.org/wp-content/uploads/2019/01/p040.pdf
SNLI,,# 48,% Test Accuracy,50.4,Unlexicalized features,-,Natural Language Inference,A large annotated corpus for learning natural language inference,/paper/a-large-annotated-corpus-for-learning-natural,https://arxiv.org/pdf/1508.05326v1.pdf
SNLI,,# 54,% Train Accuracy,49.4,Unlexicalized features,-,Natural Language Inference,A large annotated corpus for learning natural language inference,/paper/a-large-annotated-corpus-for-learning-natural,https://arxiv.org/pdf/1508.05326v1.pdf
SNLI,,# 1,Parameters,,Unlexicalized features,-,Natural Language Inference,A large annotated corpus for learning natural language inference,/paper/a-large-annotated-corpus-for-learning-natural,https://arxiv.org/pdf/1508.05326v1.pdf
SNLI,,# 46,% Test Accuracy,78.2,+ Unigram and bigram features,-,Natural Language Inference,A large annotated corpus for learning natural language inference,/paper/a-large-annotated-corpus-for-learning-natural,https://arxiv.org/pdf/1508.05326v1.pdf
SNLI,,# 1,% Train Accuracy,99.7,+ Unigram and bigram features,-,Natural Language Inference,A large annotated corpus for learning natural language inference,/paper/a-large-annotated-corpus-for-learning-natural,https://arxiv.org/pdf/1508.05326v1.pdf
SNLI,,# 1,Parameters,,+ Unigram and bigram features,-,Natural Language Inference,A large annotated corpus for learning natural language inference,/paper/a-large-annotated-corpus-for-learning-natural,https://arxiv.org/pdf/1508.05326v1.pdf
SNLI,,# 47,% Test Accuracy,77.6,100D LSTM encoders,-,Natural Language Inference,A large annotated corpus for learning natural language inference,/paper/a-large-annotated-corpus-for-learning-natural,https://arxiv.org/pdf/1508.05326v1.pdf
SNLI,,# 49,% Train Accuracy,84.8,100D LSTM encoders,-,Natural Language Inference,A large annotated corpus for learning natural language inference,/paper/a-large-annotated-corpus-for-learning-natural,https://arxiv.org/pdf/1508.05326v1.pdf
SNLI,,# 1,Parameters,220k,100D LSTM encoders,-,Natural Language Inference,A large annotated corpus for learning natural language inference,/paper/a-large-annotated-corpus-for-learning-natural,https://arxiv.org/pdf/1508.05326v1.pdf
